id,title,artist,release,duration,year,loudness,country
251,Over And Out [Album Version],Britny Fox,Bite Down Hard,285.02159,1991,-12.159,"Philadelphia, PA"
252,The Legend of Yellow Boobie,Year of Desolation,Your Blood_ My Vendetta,337.76281,2005,-5.623,"Greensboro, NC"
253,Meu Bem Meu Mal (Mi Bien Mi Mal),Gal Costa,Cores_ Nomes,242.9122,2007,-25.63,"Santo Amaro da Purifica , Bra"
254,We Didn't Kill Each Other (But Didn't We Try) [Originally Performed by Dallas Wayne],The Meatmen,Cover the Earth,216.81587,1974,-6.439,"Lansing, MI"
255,(Coffee's For Closers),Fall Out Boy,Folie à Deux,275.3824,2008,-3.214,"Wilmette, IL"
256,Why U Mad At Me (Explicit Screwed Version),T.I.,Urban Legend,258.92526,2004,-5.81,"Atlanta, GA"
257,Don't Do That,Pinchers,Dirt Low,229.01506,1982,-13.229,"Centerville, TN"
258,Juno,Zuma,Juno,735.60771,2001,-7.662,"Brest, France"
259,Know Thyself,Atom,I Have Returned,207.28118,2004,-9.652,Washington
260,Grandma (Screwed & Chopped Version),Mike Jones,Who Is Mike Jones? Screwed & Chopped,364.77342,2008,-7.932,"Houston, TX"
261,Crawlspace,Beastie Boys,To The 5 Boroughs,173.60934,2004,-6.601,"New York, NY"
262,Heart it Races (Yacht's I Should Coco Mix),Architecture In Helsinki,Heart It Races Remixes,279.90159,1998,-5.241,Melbourne
263,Fairytale Land,Dora The Explorer,Dora The Explorer,65.82812,1999,-4.367,Jamaica
264,Tocame,Gisselle,Atada,243.61751,2008,-3.628,Puerto Rico
265,The Last Song,The Fool'S Nose,Old News,202.00444,2009,-19.777,"Compton, CA"
266,Anya,Marvin Hamlisch,The Spy Who Loved Me (Soundtrack),201.45587,1977,-25.604,"New York, NY"
267,Jolie Blon's Gone,Harry Choates,Cajun Honky Tonk,177.78893,2005,-11.87,"Rayne, LA"
268,I've Got The World On A String,Charlie Byrd Trio,I've Got the World On a String,231.94077,2005,-18.981,"Los Angeles, California"
269,Performance (Remastered),Happy Mondays,Bummed,243.25179,1988,-9.944,"Manchester, England"
270,En mis besos,Café Quijano,La taberna del Buda,215.2224,2001,-10.41,"Athens, GA"
271,Aho,Meiway,M20,288.62649,1995,-5.297,"Escatawpa, MS"
272,Que Viva El Amor,Flor Silvestre,La Voz Que Acaricia,122.06975,2004,-9.15,"Geneva, Switzerland"
273,Problems,The Real Kids,No Place Fast,135.00036,1989,-4.94,"Sydney, Australia"
274,Rockin' At Midnight,Roy Brown,Long 'Bout Midnight,163.83955,2007,-9.107,"New Orleans, LA"
275,Requiem Blaster,Pumpkin Buzzard,Perfect Dragon,120.00608,1999,-18.682,Missouri
276,Problems,Mikey Dread,SWALK,289.64526,1996,-6.46,Jamaica
277,Préliminaires_ par Philippe Pagès (feat. Philippe Pagès),Nicolas Bacchus,Balades pour enfants louches,65.61914,2002,-18.463,"Los Angeles, CA"
278,Ain't That Loving You Baby,John Hammond,Bluesman,198.29506,1994,-13.129,"Buffalo, NY"
279,That you fool ed me,Wilks,Brightess night,257.04444,2007,-6.736,Ireland
280,The Man From U.N.C.L.E.,The London Theatre Orchestra,Ultimate Cult Themes,159.21587,1967,-4.959,"Los Angeles, CA"
281,Josephine (French Edit),Chris Rea,Weekend Songs,236.35546,2008,-7.186,"Middlesbrough, England"
282,Crustaceans As Castanets,Pagan Wanderer Lu,European Monsoon,117.28934,1998,-4.952,Tennessee
283,Is It The Skin I'm In?,Lyrics Born,Everywhere At Once,233.32526,2008,-5.755,Japan
284,No Reply (Demo),Buzzcocks,Chronology,135.23546,2008,-7.324,London / Ex-Manchester
285,All Night Worker,Dave Alvin,The Great American Music Galaxy,255.89506,2007,-10.455,"Downey, CA"
286,Where You Think You're Goin'?,Darryl Worley,I Miss My Friend,226.2722,2002,-9.344,"Savannah, TN"
287,Haunt Me (Album Version),Wednesday 13,Transylvania 90210,275.48689,1996,-3.545,Arizona
288,Nature Boy,Quadro Nuevo,Luna Rossa,133.98159,2002,-9.498,California
289,Slipping Away,Vivian,V,192.44363,1993,-4.919,CANADA - Ontario
290,Lonely Shooting Stars,Sandy Lam,Sandy Live 07,270.00118,1998,-10.034,"Buenos Aires, Argentina"
291,Entre Gris Clair Et Gris Foncé (Live),Jean-Jacques Goldman,Intégrale 81-91,434.49424,2009,-10.787,"Paris, France"
292,Unsafe Sextet/Gilded Hearts of Booklovers,Busdriver,Jhelli Beam,311.11791,2009,-6.818,"Brooklyn, NY"
293,Long Lonesome Blues,Blind Lemon Jefferson,The Complete Classic Sides Remastered: Chicago 1926 Disc A,178.38975,1926,-24.106,"Couchman, TX"
294,Test 72,Mush,Test EP Vol 1,397.00853,2003,-17.865,Switzerland
295,Thriller (Album),Singing Melody,Jackson Lovers,251.11465,2005,-7.327,"St. Louis, MO"
296,Intro / Stay All Night_ Stay A Little Longer,Hawkshaw Hawkins,Country Style U.S.A. with Kitty Wells_ Johnnie & Jack_ Hawkshaw Hawkins_ Jean Shepard,71.1571,2008,-9.902,"WILMINGTON, Delaware"
297,Coward,Hoods,The King Is Dead,81.6322,2006,-6.103,Vrsac
298,Irreplaceable,Toby Love,Love Is Back,255.05914,1998,-5.052,US
299,Cheer,Descendents,Enjoy!,183.90159,1986,-12.289,"Los Angeles, CA"
300,Porcelaine,Benabar,Live Au Grand Rex,235.02322,2001,-6.711,"East Flatbush, Brooklyn, NY"
301,Funny,Streetwize,Work It!,307.33016,1992,-8.067,"Nevada City, CA"
302,Two Ruffles & Flourishes / General's March,US Coast Guard Band,Ceremonials,31.29424,2002,-13.287,Detroit USA
303,She Runs,Jimmy Wayne,Jimmy Wayne,202.08281,1966,-6.424,"Aberdeen, Scotland"
304,Peace And Quiet Time,Gonzalo Rubalcaba,Images: Live From Mt. Fuji,477.49179,2005,-27.621,"Havana, Cuba"
305,Are You The One?,The Presets,Are You The One?,281.0771,2005,-11.403,"Sydney, Australia"
306,Two Lights [Bonus Track],Joe Lynn Turner,Second Hand Life: The Deluxe Edition,304.66567,2003,-6.821,UK
307,Stuff Like That,James Last,Last The Whole Night Long,101.642,2000,-9.9,"Bremen, Germany"
308,Narrative #2,Michael Bloomfield,If You Love These Blues_ Play'em As You Please,10.65751,2004,-19.907,California - LA
309,Lado A Lado (Bomba Carnaval Mix),Fulanito,La Nueva Mezcla 2,247.14404,1988,-6.276,POLAND
310,Happy Safari,Bert Kaempfert,Two In One - A Singin' Safari/Safari Swings Again,169.89995,1997,-15.94,"Hamburg, Germany"
311,Rock Me,Santana,The Birth Of Santana - The Complete Early Years,93.80526,1998,-9.68,"San Francisco, California"
312,Mon dieu,Josélito,Les plus grandes chansons,139.78077,1998,-11.34,Jaen
313,I Can't Be Your Man,Porter Wagoner,Porter Wagoner's When The One You Love Says I Love You,13.26975,2006,-12.847,"West Plains, MO"
314,Playing James Mason,Mel Blanc,EMI Comedy - Mel Blanc,912.97914,2008,-13.025,"New Orleans, LA"
315,Sag es sag es feat. Neo,Samy Deluxe,The big baus of the nauf,282.38322,2006,-6.022,"Volos, Greece"
316,Virtuous Woman,Warrior King,Riddim Rider : Trod'n to Zion,223.29424,2002,-6.582,"Los Angeles, CA"
317,Separate Ways,Agnostic Front,Disarming Violence,158.32771,2002,-3.495,"New York, NY"
318,Hua Yu Ai Li Si,Miriam Yeung,Single,228.362,2003,-11.126,FR
319,Ballin' (Radio),Big Rich,Ballin' - Single,274.23302,2008,-10.665,New Jersey
320,Money Didn't Change Me,Three 6 Mafia,Da Unbreakables (Explicit Version),190.74567,2003,-5.718,"Memphis, TN"
321,"Medley : ""Traces"" (Live)",Jean-Jacques Goldman,Intégrale 81-91,558.44526,2009,-10.91,"Paris, France"
322,Stone a Pig,Bongzilla,Live From the Relapse Contamination Festival,422.55628,2002,-9.929,"Madison, Wisconsin"
323,25 Variations And Fugue On A Theme By G.F. Handel For Piano_ Op. 24: Variation XXII,Solomon,Solomon Vol. 2,48.29995,2001,-30.089,New York
324,Rude!/Drum Solo,Humble Pie,The Atlanta Years,974.99383,1992,-12.391,"Essex, England"
325,Skiff For The Suits,Arsonists Get All The Girls,Portals,218.48771,2009,-3.287,"Santa Cruz, CA"
326,On The Road Again,The Sonics,Maintaining My Cool,108.14649,1967,-10.173,"Tacoma, WA"
327,Tranceplant,Organ Donors,MASIF HARD DANCE ICONS 003: LISA LASHES,368.22159,1981,-5.035,United States
328,Mi Lindo Amor,Jay Pérez,Tesoros De Colección,181.62893,2000,-7.163,"Kingsland, AR"
329,City Headache,Scott Matthews,Passing Stranger,299.72853,2006,-16.253,CANADA - Ontario
330,78 Stimulator,Stimulator,Stimulator,213.55057,2004,-5.279,Los Angeles
331,Rebuliço,Gabriel Grossi,Diz que fui por aí,179.01669,2001,-6.595,"Walnut Ridge, AR"
332,I Love The Life I'm Living,Slim Harpo,The Excello Singles Anthology,153.67791,1993,-14.234,"Lobdell, LA"
333,Fruity Woman,Doc Pomus,The Savoy Blues_ Vol. 3,153.73016,1967,-9.675,"New York, NY"
334,It Must Be Me,X (Australia),Aspirations,90.8273,1991,-11.378,"Kitee, Finland"
335,House Of Sin,Leeroy Stagger,Beautiful House,304.22159,2005,-14.809,CANADA - Ontario
336,Times Like These [Live From Red Rocks],Jack Johnson,Music For Relief Download To Donate For Haiti,157.07383,2007,-9.514,"Galveston, TX"
337,Ain't Gonna Do That No More,Blind Blake,Blind Blake Vol. 4 (1929 - 1932),212.00934,1972,-23.707,"Jacksonville, FL"
338,When I Left Home,Champion Jack Dupree,The Blues Of Champion Jack Dupree Vol. 1,183.95383,2000,-13.757,"New Orleans, LA"
339,I've Been Trying,Archie Bell and The Drells,I Can't Stop Dancing,193.95873,2004,-14.477,"Greenwood, MS"
340,Fall in Philadelphia,Hall & Oates,AM Radio Gold: Hall & Oates (Remastered),170.29179,1972,-11.314,"Philadelphia, Pennsylvania"
341,Hala_ Tumba And Timbal,Airto Moreira,Life After That,312.99873,2003,-12.589,Brazil
342,Southern Jukebox Music (Live) (2001 Digital Remaster),Penguin Café Orchestra,A History,293.72036,1981,-17.448,"Chicago, IL"
343,Juana Democracia / Calipso Del Tlc,Los Nakos,Va Por Chiapas,286.77179,1974,-11.596,Mississippi
344,Trybal,Stargarden,The Art of Analog Diversion,423.70567,2004,-19.877,key west florida
345,Time / Confusion,Arthur Brown,The Crazy World Of Arthur Brown,297.03791,1968,-11.547,"Whitby, Yorkshire, England"
346,A Soldiers Intro,(hed) p.e.,New World Orphans,12.95628,2005,-19.408,"New York, NY"
347,None Missing,Birdapres,New Recruits,234.57914,2005,-7.459,ITALY
348,My Old Man Boogie,The Reverend Peyton's Big Damn Band,Big Damn Nation,179.46077,2006,-6.988,"Rockledge, Florida"
349,Feelings Gone (feat. Sam Sparro) (Joachim Garraud Remix),Basement Jaxx,Feelings Gone (feat. Sam Sparro),521.79546,2008,-4.523,"London, England"
350,All Purpose Experiment,Controlled Dissonance,For A Few Dollars More,424.85506,2005,-20.105,Florida
351,Night Time Blues,Ma Rainey,Night Shift Blues,179.61751,2005,-16.358,"Columbus, GA"
352,Fuck You,Mister Ries,Rotterdam EP,180.13995,1984,-14.365,United States
353,Slow Hand (LP Version),Conway Twitty,Southern Comfort,175.51628,2001,-12.813,"Friars Point, MS"
354,Dirty Harry (Single Edit),Gorillaz,Dirty Harry,230.47791,2005,-8.21,"Pittsburgh, PA"
355,Sadness,Mavado,Gangsta For Life: The Symphony Of David Brooks,255.16363,2007,-5.318,"Melbourne, Australia"
356,Music For The Head,Porcupine Tree,On The Sunday Of Life,162.06322,1991,-25.745,"Miltown Malbay, Ireland"
357,Pray The I Miss,Hinge,Elemental Evil,39.00036,2001,-32.987,United States
358,Could This Be Love,Leroy Hutson,The Man!,188.49914,1974,-14.822,"Newark, NJ"
359,Ethiopian Anthem,Ras Michael and the Sons of Negus,Lion Country,243.98322,1978,-8.258,"Pensacola, FL"
360,Josy,Nicolas Bacchus,Balades pour enfants louches,215.01342,2002,-8.121,"Sona-Bata, Zaire"
361,Campane,Livio Minafra,La Fiamma E Il Cristallo,409.73016,2007,-20.974,"Queens, NY"
362,Blue Orchid,The White Stripes,Blue Orchid,160.31302,2005,-9.385,Nashville / Los Angeles
363,Peppermint Patty (LP Version),Vince Guaraldi,Oh Good Grief,160.1824,2005,-13.394,"San Francisco, CA"
364,Never Gonna Give You Up,Musical Youth,True 80's Love,183.01342,1982,-8.972,"Birmingham, England"
365,Unwanted,Avril Lavigne,My World,260.44036,2001,-4.377,"Belleville, Ontario, Canada"
366,Why Can't This Be Love (Remastered Version),Van Halen,The Best Of Both Worlds,228.33587,2010,-5.571,"Pasadena, CA"
367,Everything Man (Album Version),Talib Kweli,Eardrum,196.33587,2007,-9.577,"Brooklyn, NY"
368,Percussio Livre,Grupo Batuque,Samba De Rua,388.96281,2004,-11.403,Brazil
369,Eduardo,Sapo,Pastanaga,195.91791,2003,-6.866,California - LA
370,Elizabeth Story_ et al._ Honeybabe_ Your Papa Cares For You,Elizabeth Cotten,Live!,476.18567,2002,-17.763,"Chapel Hill, NC"
371,Second Hand Rose,Roy Drusky,Second Hand Rose,144.16934,2007,-18.865,"Atlanta, GA"
372,These Foolish Things,Fixx_ The,2005 International Barbershop Quartet Contest - First Round - Volume 5,276.4273,2000,-18.063,"Edinburg, TX"
373,Hotel,Cassidy featuring R. Kelly,Hotel,247.24853,2004,-9.181,"Philadelphia, PA"
374,Hoes & Discos,Non Stop DJs,Furious EP,237.92281,2004,-9.868,Quebec
375,If This Is The End,Jeff Scott Soto,Lost In The Translation,281.70404,2004,-8.061,"Barranquilla, Colombia"
376,I Will Hear (Psalm 85),John Michael Talbot,Simple Heart,283.27138,1991,-15.355,"Oklahoma City, OK"
377,Funky Medley,Jeff Scott Soto,One Night In Madrid,771.89179,1967,-5.221,"Whitestone, Queens, NY"
378,Harmony,Jesse Malin,On Your Sleeve,165.40689,2008,-6.393,"Whitestone, Queens, NY"
379,Spider's Nest Blues,Memphis Jug Band,Move That Thing Vol 2,184.52853,2005,-27.737,"Memphis, TN"
380,Angel In Hell,Doug MacLeod,Where I Been,359.52281,2001,-13.443,"New York, NY"
381,Tour De France Étape 3 (2009 Digital Remaster),Kraftwerk,Tour De France (2009 Digital Remaster),236.2771,2004,-13.971,"D orf, Germany"
382,Mein Herz kann man nicht kaufen,Gall_ France,En Allemand - Das Beste Auf Deutsch,162.79465,2006,-9.18,"Paris, France"
383,Climax ft St. Cyr,K.A.L.I.,K.A.L.I.,216.29342,2008,-10.477,"New York, NY [Bronx]"
384,Quiet Nights Of Quiet Stars [Corcovado] [The Frank Sinatra Collection],Frank Sinatra,Francis Albert Sinatra & Antonio Carlos Jobim,166.05995,1967,-18.197,Colorado
385,It's Surprising What the Lord Can Do,The Del McCoury Band,The Promise Land,171.67628,2006,-8.473,"Middlesbrough, England"
386,IRM,Charlotte Gainsbourg,IRM,154.95791,2009,-8.005,"Humboldt, TN"
387,Cedar and Clay (World),R. Carlos Nakai,People of Peace,230.37342,2000,-27.755,"Rome, Italy"
388,(The Best Part Of) Breakin' Up,The Ronettes,Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996,182.83057,1964,-6.172,"New York, NY"
389,Qu Ni De Hun Li,Candy Lo,Fantasy,202.57914,2001,-8.374,"Bakersfield, CA"
390,Red Sails In The Sunset,Arthur Tracy,Street Singer,180.32281,1993,-19.397,"Kamenetz-Podolsk, Moldavia"
391,Kapitel 4,Oliver Kalkofe,Kalkofe liest Asmussen - Lachen ist gesund Vol.1,549.3024,2008,-14.165,"Cincinnati, OH"
392,Pastel,Richard Smith,Flow,277.002,1988,-7.44,New York
393,20.000 Seconds,K's Choice,Cocoon Crash,144.14322,1998,-15.284,"Detroit, MI"
394,Look Thru My Eyes,DMX,It's Dark And Hell Is Hot,230.50404,1998,-8.668,Cardiff
395,Smoke In The Air (A Cappella),C.L. Smooth,American Me 12,185.18159,2006,-13.91,"MOUNT PLEASANT, South Carolina"
396,Èay! Que Pena,Los Chunguitos,Los Chunguitos,170.50077,2006,-13.086, NC
397,Ferrous Carbonate Mass,Kali,Kali,207.882,1998,-7.309,California - LA
398,Cannibal (Dance Mix),Reel Big Fish,Monkeys For Nothin' And The Chimps For Free,253.09995,2007,-5.172,"Orange County, CA"
399,Sugar Coated Sour,The Dillinger Escape Plan,Calculating Infinity,144.01261,1999,-4.527,"Morris Plains, NJ"
400,Kathe Mera Kathe Nihta (2005 Digital Remaster),Dakis,Back To The 70'S-The Very Best Of Dakis,215.7971,1984,-10.308,BG
401,Il Y A Une Question (Live),Cali,Le Bordel Magnifique,328.14975,2006,-6.032,Vernet les Bains
402,In Di Car Back (Album Version),Mavado,Mr. Brooks...A Better Tomorrow,184.76363,2000,-7.467,Louisiana
403,Let's Start All Over,The Cate Brothers,Voices Of Americana: The Cate Brothers,150.17751,2002,-12.85,"Fayetteville, AR"
404,Harald: Trinkhalleluja,Bülent Ceylan,Ganz schön turbülent,348.29016,1992,-13.916,Aberdeen
405,El Tirabuzón,Tito Rodriguez,A Man And His Music  - El Inolvidable,138.44853,2001,-12.665,"San Juan, Puerto Rico"
406,At the Club,DJ X-Change featuring DJ Omega,The X-Factor (Side B),147.06893,1977,-6.854,"Austin, TX"
407,Body,Dj Kali,Various Artists #4,347.61098,2006,-4.988,Venezuela
408,Let Me In,The Fabulous Thunderbirds,The Fabulous Thunderbirds,154.53995,1979,-6.923,"Austin, TX"
409,When Horsepower Meant What It Said,Sandi Thom,The Best Of,183.35302,2006,-8.688,Scotland
410,He Took A Cab To Neptune,Art Ensemble Of Chicago,Sirius Calling,384.54812,2004,-15.73,"CHICAGO, Illinois"
411,Lo Siento En Mi Corazón,Luis Alberto Spinetta,Mondo Di Cromo,191.60771,1983,-20.009,"Buenos Aires, Argentina"
412,My Ship Is Comin' In,Walter Jackson,R&B: From Doo-Wop To Hip-Hop,189.6224,1996,-11.21,"Pensacola, FL"
413,Filosofia Pura,Gal Costa / Maria Bethânia,Ciclo,231.70567,2003,-8.753,California - LA
414,Fractured Quantum,Ace Frehley,Anomaly,379.32363,2009,-10.519,"New York, NY [The Bronx]"
415,Buckle Down (2002 Digital Remaster),Red Hot Chili Peppers,Red Hot Chili Peppers,203.96363,1977,-5.735,"Lancaster, NH"
416,Yellow Brown,Jesus Jones,Perverse,203.65016,1993,-14.897,Louisiana
417,Free Love,Long Beach Dub Allstars,Wonders Of The World,205.11302,2001,-1.869,"PEARLINGTON, Mississippi"
418,( Gone With the Wind) Bonnies Fatal Pony Ride,Max Steiner,Gonjhe With the Wind & Golden Earrings,163.39546,1979,-13.629,"Vienna, Austria"
419,Number One Girl,Glen Washington,Number One Girl,237.19138,2005,-7.485,Venezuela
420,Good Friend,James Horner,Cocoon: The Return,197.38077,2000,-29.407,"Los Angeles, CA"
421,De Do Do Do_ De Da Da Da,The Police,Message In A Box,249.18159,2006,-10.362,"London, England"
422,Nite Life (Sound Factory Version),Kim English,Armand Van Helden's Nervous Tracks,387.26485,2000,-8.304,"Memphis, TN"
423,Jean Dominique Intro,Wyclef Jean,WELCOME TO HAITII CREOLE 101,68.49261,2004,-12.919,"Croix-des-Bouquets,  Haiti"
424,Skinny Woman (Gravel Road Woman),David Evans,Match Box Blues,173.26975,1994,-8.243,Tennessee
425,These Old Eyes Have Seen It All,George Jones,Wine Colored Roses,232.51546,1990,-15.497,"Beaumont, Texas"
426,Beginning Of The End,Cockney Rejects,Out Of The Gutter,250.01751,1987,-5.569,England
427,"The Killing Of Dumbledore (""Harry Potter & The Half-Blood Prince"")",Nicholas Hooper,Harry Potter And The Half-Blood Prince - Original Soundtrack,214.90893,1990,-29.51,Cuba
428,Shameful (LP Version),Atreyu,A Death - Grip On Yesterday,209.42322,2004,-3.161,"Orange County, CA"
429,Tonight,Swami,53431,259.91791,2009,-6.066,"Birmingham/ London, UK"
430,Latin Flute,Deodato,Deodato 2,287.34649,2003,-11.47,"Richland, MS"
431,Total Vision,David Tao,Atmospheric Dreams,194.32444,2006,-19.252,"Aberdeen, Scotland"
432,Flesh And Blood,Mary Black,Best of 1991-2001 Hidden Harvest,245.73342,1993,-8.997,Ireland
433,Tough Guy,Open Hand,You And Me,187.76771,2004,-6.09,Mass. - Boston
434,Healing,Blessid Union Of Souls,Close To The Edge,238.94159,2003,-9.931,"Cincinnati, OH"
435,Bubble Music,Cam'Ron,Purple Haze,231.94077,2004,-3.387,"Harlem, NY"
436,Evigne,Dobet Gnahoré,Djekpa la you,251.79383,2010,-12.378,BELGIUM
437,I Remember/Great Is Thy Faithfulness,Kathy Troccoli with Aaron Jeoffrey,Grateful Hearts,417.72363,2003,-13.52,"NASHVILLE, Tennessee"
438,The Last Thing I Need,Big Mike Griffin,Sittin' Here With Nothing,232.82893,1967,-7.875,"Oakland, CA"
439,Head Gone/Wine Up Uh Self (Album Version),Elephant Man,Good 2 Go,233.58649,2003,-7.473,"Kingston, Jamaica"
440,Getting Closer,Cocoa Tea,One Up,243.17342,1993,-8.081,"Kingston, Jamaica"
441,Bury Me,Ashes to Ashes,Big Moving Parts,235.2322,2002,-8.892,NORWAY
442,Dieter's Theme,Klaus Badelt,Rescue Dawn,203.15383,2007,-12.939,"Lund, Sweden"
443,Thrill Pistol,Tigertailz,Thrill Pistol / Wazbones,309.18485,2007,-6.334,"Cardiff, Wales"
444,Now Is A Needy Time,David Evans,Needy Time,239.15057,1998,-8.815,Tennessee
445,I'm Alive (BT & Sasha Mix),Seal,Seal Best Remixes 1991-2005,828.05506,2001,-6.223,"Paddington, London, England"
446,Je me sens bien pasta fagioli,Chatelaine,Corps à corps,150.17751,2002,-8.374,United Kingdom
447,Peaches (Fear of Theydon remix),Dub Pistols feat. Rodney P & Terry Hall,Peaches,323.57832,2009,-6.139,"London, England"
448,Les Psys,Les Malpolis,Piédenés,156.02893,2003,-7.943,"SALINAS, California"
449,Walking Miracle,Vanessa Bell Armstrong,Walking Miracle,224.65261,2000,-6.269,"Detroit, MI"
450,I've Been Working on the Railroad,Laurie Berkner,Buzz Buzz,115.82649,2001,-15.304,Sofia
451,Freezin' From The Inside Out,John Sebastian,Tar Beach,284.00281,2001,-13.452,Leeds
452,La Pieuvre,Lara,Petit Coeur Assassin,206.602,2007,-11.017,United States
453,Bleeds In Blue (Album Version),Home Town Hero,Home Town Hero,187.76771,2002,-2.863,"Los Angeles, California"
454,Djungelstadt,Sonic Subjunkies,Live At The Suicide Club,266.34404,1994,-6.31,"Wilkes Barre, PA"
455,Concede,Sister Hazel,...Somewhere More Familiar,235.65016,1997,-6.322,"Gainesville, FL"
456,Maga Dog/ Skanky Dog (Album),Peter Tosh & Winston Scotland,Reggae Anthology - Joe Gibbs: Scorchers From The Early Years [1967-73],328.4371,2008,-13.002,"Westmoreland, Jamaica"
457,Boy & Girl (Feat. Fiona Daniel),Serpentine,Beauty Queen,248.08444,2003,-5.927,Switzerland
458,Slatke male maloletnice,Beogradski Sindikat,Bssst.....Tisincina!,415.50322,2002,-7.763,Brooklyn
459,I Can Dig It,The Box Tops,Nonstop,142.36689,1968,-11.669,"Memphis, TN"
460,Gaffo's Ball,Sharon Shannon,The Galway Girl - The Best Of Sharon Shannon,191.92118,2007,-10.001,"London, England"
461,Mi Corazón Y Mi Mente,Bobby Pulido,El Cazador,207.98649,1999,-8.974,"Edinburg, TX"
462,Don't Treat Me Bad,Firehouse,Good Acoustics,258.2722,1990,-7.178,Wisconsin
463,Peanuts,Little Joe & The Thrillers,Backline Volume 61,143.67302,1994,-7.217,Mississippi
464,Escape From The Underrealm,Tilman Sillescu,Battleforge,123.24526,2008,-10.844,"London, England"
465,Amazing,George Michael,Amazing,266.94485,2004,-6.694,"London, England"
466,You Make Our Shack A Mansion,Grandpa Jones,The Unforgettable Grandpa Jones,158.27546,1993,-11.446,"Niagra, KY"
467,New D.B.A. Blues,Josh White,Josh White Vol. 2 1933-1935,181.39383,2003,-17.148,"Greensboro, NC"
468,Green Mind,Dinosaur Jr,Green Mind [Digital Version] [with Bonus Tracks],298.57914,1991,-5.899,"Amherst, MA"
469,Then Came You,Boogie Pimps,Then Came You,333.89669,2007,-7.269,"New York, NY"
470,Scream On Em,The Game,Doctor's Advocate,260.10077,2002,-4.595,"Chicago, IL"
471,The Arctic Ocean (Album Version),Sinch,Sinch,232.202,2002,-5.551,Pennsylvania
472,Call Me Lightning,Flamin' Groovies,Kicks,207.28118,2004,-10.179,"San Francisco, CA"
473,Winds of Change,The Insects,Free the Hard Way,226.40281,2006,-7.332,"St. Louis, Missouri"
474,Michael A Grammar,Broadcast,Tender Buttons,237.00853,2005,-9.664,"Birmingham, England"
475,Steel Guitar Rag,Alvino Rey And His Orchestra,Big Band Favourites Vol 3,156.05506,2005,-11.956,"Austin, TX"
476,Walk In The Light,The American Boychoir,Harmony: American Songs Of Faith,241.8673,2003,-22.965,New Jersey
477,The Whole World Looking At Me (Explicit LP Version),Busta Rhymes,When Disaster Strikes,206.34077,1996,-7.399,"East Flatbush, Brooklyn, NY"
478,6 A.M. Funk,Disco D,Ghettotech For Slow People,235.07546,1992,-8.253,"St. Louis, MO"
479,Primordial Breath,Eluveitie,Slania,259.02975,2008,-2.731,Switzerland
480,Beyond The Reef,The King Sisters,Aloha,176.03873,2004,-25.452,"New York, NY [The Bronx]"
481,Fishing Blues,Jim Kweskin_ The Jug Band,See Reverse Side For The Title,202.1873,2001,-7.883,"Boston, MA"
482,Everybody,Goose,Bring It On Rarities & Remixes,276.13995,2006,-1.814,Ohio
483,Loud Up!!,The Mad Capsule Markets,1997-2004 (Hits),161.01832,2004,-4.279,JP
484,Control It (Album Version),Static-X,Shadow Zone,185.10322,2003,-3.261,Alabama
485,Aulis Gerlander,Jope Ruonansuu,Kaikkien aikojen parhaat -45 klassikkoa - Aattelepa ite,150.7522,2004,-5.062,"Los Angeles, CA"
486,Is It Clean (Ethereal - Progressive),The Gone Jackals,Out And About With...,220.83873,2004,-14.87,"New Orleans, LA"
487,I Talk To The Trees,Danny Williams,Moon River/Swinging For You,190.27546,2004,-10.908,"Port Elizabeth, South Africa"
488,So Still (Album Version),Danny Wright,An Intimate Christmas,238.91546,2001,-19.97,Texas
489,Be Elevator,Virus,Carheart,529.03138,1997,-6.56,UK - England - South East
490,A Guy What Takes His Time En Anglais,Marlene Dietrich, Lazy Afternoon En Anglais,167.02649,1978,-12.442,"Sch erg, Germany"
491,This is How It Goes (Timmy Trumpet Remix),Goldfish,This Is How It Goes,432.14322,2005,-8.14,"New Orleans, LA"
492,Yksinäisin,Solistiyhtye Suomi,He Soittavat Humppaa,164.98893,2002,-9.4,"Lafayette, LA"
493,New Kind Of Mambo,Big Maybelle,Maybelle's Blues,156.96934,1999,-8.052,"Jackson, TN"
494,Amor De Lejos,Lara & Reyes,World Jazz,319.84281,1979,-7.82,"Kingston, Jamaica"
495,She Hui Ge (Movie 2nd Song - Love Undercover 3),Fiona Sit,Electric Angel,205.24363,2008,-11.389,"New York, NY [The Bronx]"
496,Rolo Le Baroudeur,Julien Clerc,Niagara,207.20281,1971,-12.682,FR
497,Was wollen wir noch mehr?,Die Fantastischen Vier,Für Dich Immer Noch Fanta Sie,316.55138,2010,-7.43,Germany
498,Turn It Up,Devine and emilyPLAY,Hold On / Turn It Up,375.48363,1971,-3.506,Florida
499,(eskomolto),Pagan Wanderer Lu,Perfection R.I.P.,131.44771,1998,-9.771,"Chicago, IL"
500,Bad Man Story,Beenie Man,Beenie Man - EP,179.51302,1990,-1.997,"Kingston, Jamaica"
501,Final Solution,Blanks77,Killer Blanks,121.02485,1983,-9.652,"Melbourne, Australia"
502,Job's Defiance,Don Francisco,Genesis And Job,266.52689,1999,-15.175,Colorado
503,Eleanor,Low Millions,Eleanor,193.38404,2004,-6.016,"Los Angeles, CA"
